,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
1842,2021-08-20 01:36:14,27.145,27.1497,Binance,0.004699999999999704,95.0,0.4464999999999719,171.3145079460645
1843,2021-08-20 01:36:15,27.145,27.1502,Binance,0.005200000000002092,45.0,0.23400000000009413,171.5485079460646
1844,2021-08-20 01:36:16,27.145,27.1502,Binance,0.005200000000002092,32.597,0.1695044000000682,171.71801234606468
1845,2021-08-20 01:36:16,27.149,27.1502,Binance,0.001200000000000756,16.7,0.020040000000012624,171.7380523460647
1846,2021-08-20 01:36:16,27.15,27.1502,Binance,0.0002000000000030866,45.703,0.009140600000141068,171.74719294606484
1847,2021-08-20 01:36:20,27.147,27.15,Binance,0.0030000000000001137,0.37,0.001110000000000042,171.74830294606485
1848,2021-08-20 01:36:25,27.139,27.14,Binance,0.0010000000000012221,122.0,0.1220000000001491,171.870302946065
1849,2021-08-20 01:36:26,27.143,27.1435,Binance,0.0004999999999988347,124.307,0.062153499999855144,171.93245644606486
1850,2021-08-20 01:36:27,27.138,27.14,Binance,0.0019999999999988916,0.619,0.0012379999999993139,171.93369444606486
1851,2021-08-20 01:36:27,27.139,27.14,Binance,0.0010000000000012221,95.0,0.0950000000001161,172.02869444606497
1852,2021-08-20 01:36:28,27.138,27.14,Binance,0.0019999999999988916,95.0,0.1899999999998947,172.21869444606486
1853,2021-08-20 01:36:29,27.138,27.14,Binance,0.0019999999999988916,88.255,0.17650999999990216,172.39520444606475
1854,2021-08-20 01:36:30,27.139,27.14,Binance,0.0010000000000012221,16.209,0.016209000000019808,172.41141344606478
1855,2021-08-20 01:36:30,27.137,27.14,Binance,0.0030000000000001137,0.41,0.0012300000000000466,172.41264344606478
1856,2021-08-20 01:36:30,27.138,27.14,Binance,0.0019999999999988916,88.255,0.17650999999990216,172.58915344606467
1857,2021-08-20 01:36:31,27.137,27.14,Binance,0.0030000000000001137,92.024,0.2760720000000105,172.86522544606467
